Model,Support,Variantes,,
Watch4 Classic 42mm,No,"SM-R880, SM-R885F, SM-R885N, SM-R885U",,
Watch4 Classic 46mm,No,"SM-R895F, SM-R895N, SM-R895U, SM-R8950, SM-R890",,
Watch5 40mm,No,"SM-R905N, SM-R900, SM-R905U, SM-R905F",,
Watch5 44mm,No,"SM-R915N, SM-R910, SM-R9150, SM-R915U, SM-R915F",,
Watch5 Pro,No,"SM-R925N, SM-R925U, SM-R925F, SM-R920",,
Watch6 40mm,No,"SM-R935N, SM-R935U, SM-R935F, SM-R930",,
Watch6 44mm,No,"SM-R945N, SM-R9450, SM-R945F, SM-R940, SM-R945U",,
Watch6 Classic 43mm,No,"SM-R955N, SM-R955U, SM-R955F, SM-R950",,
Watch6 Classic 47mm,No,"SM-R965N, SM-R965U, SM-R9650, SM-R960, SM-R965F",,
Galaxy A6,Yes,"SM-A600FN, SM-A600F, SM-A600G, SM-A600GN, SM-A600N, SM-A600P, SM-A600A, SM-A600AZ, SM-A600T, SM-A600T1, SM-A600U",,
Galaxy A6,Yes,"SM-A605FN, SM-A6050, SM-A605F, SM-A605G, SM-A605GN, SM-A605K, SM-A6058",,
Galaxy A7 2018,Yes,"SM-A750F, SM-A750FN, SM-A750G, SM-A750GN, SM-A750N, SM-A750C",,
Galaxy A8 2018,Yes,SC-02L,,
Galaxy A8 Star,Yes,"SM-G8850, SM-G8858, SM-G885F, SM-G885S, SM-G885Y",,
Galaxy A8s,Yes,"SM-G8870, SM-G887F",,
Galaxy A9 2018,Yes,"SM-A920F, SM-A9200, SM-A920N",,
Galaxy A9 Pro,Yes,SM-G887N,,
Galaxy J4,Yes,"SM-J400M, SM-J400G, SM-J400F",,
Galaxy J4,Yes,SM-J415N,,
Galaxy J6,Yes,"SM-J600F, SM-J600FN, SM-J600G, SM-J600GT, SM-J600GF, SM-J600L, SM-J600N",,
Galaxy J6,Yes,"SM-J610G, SM-J610F, SM-J610FN",,
Galaxy J7 Duo,Yes,"SM-J720F, SM-J720M",,
Galaxy J7 Top,Yes,SM-J737S,,
Galaxy J8,Yes,"SM-J810F, SM-J810M, SM-J810Y, SM-J810GF, SM-J810G",,
Galaxy S8 Lite,Yes,SM-G8750,,
Galaxy Tab A 105,Yes,"SM-T595C, SM-T595N, SM-T597, SM-T597V, SM-T597P, SM-T597W, SM-T590, SM-T595",,
Galaxy Tab A 8 2018,Yes,"SM-T387P, SM-T387V, SM-T387AA, SM-T387T, SM-T387R4",,
Galaxy Tab A 80,Yes,SM-T387W,,
